vizType,trial,groundTruth,response,responseTimeMs
pie_angle,1,57,70,8055
pie_angle,2,30,20,9221
pie_angle,3,14,15,3022
pie_angle,4,71,38,8228
pie_angle,5,23,20,13795
pie_angle,6,43,33,5483
pie_angle,7,86,43,4694
pie_angle,8,64,36,8556
pie_angle,9,35,27,7287
star_area,10,86,100,7376
star_area,11,23,50,4898
star_area,12,35,62,8985
star_area,13,57,67,4718
star_area,14,14,23,4688
star_area,15,30,30,3062
star_area,16,64,75,3457
star_area,17,43,69,2282
star_area,18,71,80,5418
aligned_bars,19,64,80,5372
aligned_bars,20,14,15,4963
aligned_bars,21,57,66,27956
aligned_bars,22,43,54,7762
aligned_bars,23,30,34,3379
aligned_bars,24,35,37,7000
aligned_bars,25,71,77,33717
aligned_bars,26,23,15,2830
aligned_bars,27,86,89,5179
color_saturation,28,14,100,5044
color_saturation,29,35,100,1807
color_saturation,30,71,100,4082
color_saturation,31,64,100,1950
color_saturation,32,43,100,2024
color_saturation,33,23,100,1329
color_saturation,34,30,53,14651
color_saturation,35,57,81,5278
color_saturation,36,86,100,3002
color_luminance,37,14,4,8473
color_luminance,38,35,14,3614
color_luminance,39,86,90,3878
color_luminance,40,23,2,3634
color_luminance,41,71,45,3090
color_luminance,42,57,36,3177
color_luminance,43,64,27,2267
color_luminance,44,43,13,2305
color_luminance,45,30,6,2511
line_slope,46,71,95,8046
line_slope,47,35,89,2845
line_slope,48,30,72,1872
line_slope,49,23,57,3370
line_slope,50,43,64,2029
line_slope,51,86,89,2452
line_slope,52,57,79,2298
line_slope,53,14,56,4616
line_slope,54,64,72,3634
circle_area,55,14,56,7830
circle_area,56,57,82,56643
circle_area,57,86,100,3533
circle_area,58,23,50,2894
circle_area,59,30,58,5484
circle_area,60,71,93,2975
circle_area,61,64,93,2057
circle_area,62,43,83,9628
circle_area,63,35,73,2377
stacked_bars,64,57,57,14918
stacked_bars,65,64,44,21891
stacked_bars,66,43,35,25498
stacked_bars,67,71,46,29794
stacked_bars,68,23,13,35791
stacked_bars,69,14,5,41099
stacked_bars,70,30,14,45745
stacked_bars,71,86,48,52989
stacked_bars,72,35,27,57804
